zinc_id,smiles
ZINC000000000253,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3[C@@H]2C1
ZINC000000000254,CN1CC[C@@]2(C)C[C@H](Cc3ccc(O)cc32)C1
ZINC000000000255,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1C1=CC(=O)CC1
ZINC000000000257,COC(=O)CCc1ccc(OC[C@H](O)CNC(C)C)cc1
ZINC000000000259,C#C[C@]1(O)CC[C@@H]2N3CCc4cc(OC)ccc4[C@@H]3CC[C@]21C
ZINC000000000261,CCN(C)[C@@H](C)[C@@H](O)c1ccccc1
ZINC000000000263,C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(N)cc(CO)c1
ZINC000000000264,CCNC1=Nc2ccc(Cl)cc2[C@H](c2ccccc2)S1
ZINC000000000265,CCO[C@@H]1c2ccccc2C(=O)N(C)c2ccccc21
ZINC000000000266,CCN(CC)C(=O)c1ccc(O)c(OC)c1
ZINC000000000267,C#C[C@@](O)(/C=C/Cl)CC
ZINC000000000268,CCOC(=O)[C@]1(c2ccccc2)CCCN(C)CC1
ZINC000000000270,CCOC(=O)c1cncn1[C@H]1CCCc2ccccc21
ZINC000000000271,CCN1C(=O)N[C@H](c2ccccc2)C1=O
ZINC000000000272,CCN(C)[C@@H](C)C=C(c1cccs1)c1cccs1
ZINC000000000273,CC[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1
ZINC000000000274,CC[C@H](C(=O)NC(N)=O)c1ccccc1
ZINC000000000276,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C
ZINC000000000277,CC/N=C1\Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1
ZINC000000000282,CCc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
ZINC000000000283,C[C@@H]1C[C@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)N1C
ZINC000000000284,CC[C@@H](C)[C@](C#N)(CCN1CCCCC1)c1ccccc1
ZINC000000000285,CC(C)NC[C@@H](O)COc1ccccc1C1CCCCC1
ZINC000000000286,COc1ccc(-n2nnc(C(=O)N3C[C@H]4C[C@H]3CS4(=O)=O)c2-c2cccnc2)cc1
ZINC000000000287,O=C1[C@@H](N2CCCCC2)CCN1c1ccccc1
ZINC000000000288,NC(=O)c1ccccc1OCC(=O)OC[C@@H]1CCCO1
ZINC000000000289,CC[C@H](C(=O)O)C1(O)CCC(c2ccccc2)CC1
ZINC000000000290,N[C@H](Cc1ccc(Cl)cc1)C(=O)O
ZINC000000000291,O=C(O)[C@@H](Cl)c1ccc(C2CCCCC2)c(Cl)c1
ZINC000000000293,C[C@H](Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C
ZINC000000000294,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
ZINC000000000296,CC[C@H]1C(=O)NC(=O)[C@@]1(C)c1ccccc1
ZINC000000000297,CC(C)(Oc1ccc([C@H](O)c2ccc(Cl)cc2)cc1)C(=O)O
ZINC000000000298,C[C@H]1NC(=O)CO[C@@H]1c1ccccc1
ZINC000000000299,COc1ccc([C@@](C)(O)c2ccccc2)c(OC)c1
ZINC000000000300,C[C@H](Oc1ccc(Oc2ccc(Cl)cc2)cc1)C(=O)O
ZINC000000000301,C[C@H](C(=O)O)c1cccc(Oc2ccccc2)c1
ZINC000000000302,CCNC1=NC(=O)[C@@H](c2ccccc2)O1
ZINC000000000303,CC(C)(O)C[C@](C)(O)c1ccc(Cl)cc1
ZINC000000000304,CN1C[C@@H](CCN2CC=C(c3ccccc3)CC2)OC1=O
ZINC000000000305,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](c1ccccc1)NC2=O
ZINC000000000306,O[C@H](CNc1ncccn1)c1ccccc1
ZINC000000000308,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1
ZINC000000000309,COCCCN(CCN1CCCCC1)Cc1cccs1
ZINC000000000310,CN1CC[C@@](O)(c2ccc(F)cc2)[C@H](C(=O)c2ccc(F)cc2)C1
ZINC000000000311,CC(C)(C)NC[C@@H](O)c1ccccc1F
ZINC000000000312,CN(C)[C@H]1CCc2[nH]c3c(F)cc(F)cc3c2C1
ZINC000000000313,CNC[C@@H](OC)c1cccc(C(F)(F)F)c1
ZINC000000000314,CC[C@](O)(c1ccccc1)c1cccc(C(F)(F)F)c1
